provider_id,npi,provider_name,taxonomy,organization
P000001,3964907015,Provider1,207Q00000X,OrgC
P000002,9429788408,Provider2,208D00000X,OrgC
P000003,2396172447,Provider3,208D00000X,OrgC
P000004,5630197038,Provider4,363LF0000X,OrgA
P000005,1823986658,Provider5,207Q00000X,OrgC
P000006,9688849380,Provider6,207Q00000X,OrgB
P000007,6178384555,Provider7,363LF0000X,OrgB
P000008,8232999379,Provider8,363LF0000X,OrgB
P000009,3537301767,Provider9,363LF0000X,OrgA
P000010,8216169639,Provider10,207Q00000X,OrgC
P000011,7325577689,Provider11,208D00000X,OrgB
P000012,6793133227,Provider12,363LF0000X,OrgA
P000013,9555065333,Provider13,363LF0000X,OrgC
P000014,4901422042,Provider14,208D00000X,OrgB
P000015,4735795901,Provider15,208D00000X,OrgA
P000016,7229090158,Provider16,208D00000X,OrgB
P000017,8515497754,Provider17,207Q00000X,OrgA
P000018,4015684179,Provider18,363LF0000X,OrgB
P000019,7026913491,Provider19,208D00000X,OrgC
P000020,2881336670,Provider20,208D00000X,OrgA
